time,x,y,yaw
1762758262.687270,0.034700,0.034360,0.003284
1762758262.723351,0.035700,0.033491,0.003848
1762758262.755892,0.038467,0.031806,0.002848
1762758262.792376,0.037111,0.032332,0.002009
1762758262.844886,0.036956,0.032299,0.002020
1762758262.884510,0.035017,0.029657,0.000918
1762758262.911949,0.036872,0.027509,0.000199
1762758262.966502,0.034566,0.031562,-0.000505
1762758262.991467,0.034707,0.032502,-0.000504
1762758263.026033,0.035119,0.030834,-0.000542
1762758263.070553,0.034466,0.031022,-0.000312
1762758263.102010,0.033566,0.030931,-0.000666
1762758263.137163,0.034557,0.028753,-0.001087
1762758263.173638,0.034748,0.030493,-0.000883
1762758263.199821,0.034321,0.030603,-0.000624
1762758263.240963,0.034098,0.028968,-0.000688
1762758263.279218,0.033582,0.029896,-0.000380
1762758263.337463,0.030960,0.030343,-0.001314
1762758263.355782,0.032166,0.028993,-0.001779
1762758263.411221,0.034122,0.028553,-0.000987
1762758263.446022,0.032942,0.028306,-0.000556
1762758263.477616,0.032862,0.028361,-0.000706
1762758263.519747,0.032165,0.027371,-0.000513
1762758263.561181,0.030237,0.027340,-0.001130
1762758263.599046,0.029687,0.027171,-0.000894
1762758263.631337,0.027395,0.031427,-0.001583
1762758263.663852,0.026822,0.032025,-0.001351
1762758263.699864,0.028529,0.032219,-0.000561
1762758263.904677,0.028351,0.032145,-0.000434
1762758263.925683,0.028729,0.032022,-0.000282
1762758263.982114,0.028244,0.033386,-0.000057
1762758264.002130,0.027261,0.032848,-0.000369
1762758264.016308,0.028675,0.031113,-0.000938
1762758264.033616,0.028069,0.029107,-0.001447
1762758264.051509,0.026572,0.030535,-0.000865
1762758264.068685,0.028305,0.034019,0.000388
1762758264.089162,0.029937,0.032130,-0.000255
1762758264.103871,0.028980,0.033839,-0.000677
1762758264.248352,0.029330,0.033144,-0.000775
1762758264.265924,0.028618,0.031414,-0.001094
1762758264.279945,0.027643,0.031065,-0.000805
1762758264.296942,0.027663,0.034191,-0.000607
1762758264.317052,0.027373,0.035092,-0.000405
1762758264.503693,0.028781,0.036351,0.000341
1762758264.518410,0.029674,0.035670,0.000046
1762758264.537476,0.029073,0.033041,-0.000384
1762758264.553389,0.028312,0.033140,-0.000141
1762758264.576461,0.028528,0.034644,0.000033
1762758264.591417,0.029245,0.033807,-0.000217
1762758264.605941,0.027763,0.033923,-0.000877
1762758264.617792,0.027502,0.033321,-0.000813
1762758264.634532,0.027662,0.034893,-0.000797
1762758264.646212,0.027232,0.034668,-0.000526
1762758264.680276,0.025733,0.034343,-0.001318
1762758264.713293,0.026395,0.033066,-0.001667
1762758264.744957,0.026583,0.033642,-0.001516
1762758264.785757,0.026983,0.033287,-0.001639
1762758264.842763,0.025224,0.032231,-0.002150
1762758264.863491,0.024786,0.032717,-0.001893
1762758264.899622,0.025202,0.029907,-0.001930
1762758264.938407,0.024896,0.028452,-0.001784
1762758264.976427,0.022904,0.029265,-0.002741
1762758265.022427,0.022772,0.027950,-0.002773
1762758265.057827,0.024315,0.028585,-0.002204
1762758265.081573,0.024941,0.027938,-0.002377
1762758265.122001,0.026670,0.029896,-0.001464
1762758265.160393,0.027452,0.029175,-0.001726
1762758265.200219,0.027502,0.030498,-0.001524
1762758265.242686,0.027860,0.030370,-0.001552
